GeneID	k_cluster	Gene name	Human gene stable ID	Human gene name	Mouse gene stable ID	Mouse gene name
ENSCAFG00000000185	3	STX7	ENSG00000079950	STX7	ENSMUSG00000019998	Stx7
ENSCAFG00000000197	2	COMMD10	ENSG00000145781	COMMD10	ENSMUSG00000042705	Commd10
ENSCAFG00000000204	1	ATG12	ENSG00000145782	ATG12	ENSMUSG00000032905	Atg12
ENSCAFG00000000214	1	CCDC112	ENSG00000164221	CCDC112	ENSMUSG00000071855	Ccdc112
ENSCAFG00000000219	2	TRIM36	ENSG00000152503	TRIM36	ENSMUSG00000033949	Trim36
ENSCAFG00000000224	1	YTHDC2	ENSG00000047188	YTHDC2	ENSMUSG00000034653	Ythdc2
ENSCAFG00000000234	1	AHI1	ENSG00000135541	AHI1	ENSMUSG00000019986	Ahi1
ENSCAFG00000000244	2	MTFR2	ENSG00000146410	MTFR2	ENSMUSG00000019992	Mtfr2
ENSCAFG00000000255	4	B4GALNT1	ENSG00000135454	B4GALNT1	ENSMUSG00000006731	B4galnt1
ENSCAFG00000000274	1	HEBP2	ENSG00000051620	HEBP2	ENSMUSG00000019853	Hebp2
ENSCAFG00000000285	0	CITED2	ENSG00000164442	CITED2	ENSMUSG00000039910	Cited2
ENSCAFG00000000297	5	AVIL	ENSG00000135407	AVIL	ENSMUSG00000025432	Avil
ENSCAFG00000000312	2	PHACTR2	ENSG00000112419	PHACTR2	ENSMUSG00000062866	Phactr2
ENSCAFG00000000323	5	USP15	ENSG00000135655	USP15	ENSMUSG00000020124	Usp15
ENSCAFG00000000330	2	FBXO30	ENSG00000118496	FBXO30	ENSMUSG00000047648	Fbxo30
ENSCAFG00000000337	2	PPM1H	ENSG00000111110	PPM1H	ENSMUSG00000034613	Ppm1h
ENSCAFG00000000344	5	RUFY1	ENSG00000176783	RUFY1	ENSMUSG00000020375	Rufy1
ENSCAFG00000000352	3	XPOT	ENSG00000184575	XPOT	ENSMUSG00000034667	Xpot
ENSCAFG00000000360	0	SQSTM1	ENSG00000161011	SQSTM1	ENSMUSG00000015837	Sqstm1
ENSCAFG00000000365	5	MRNIP	ENSG00000161010	MRNIP	ENSMUSG00000020381	Mrnip
ENSCAFG00000000370	3		ENSG00000228144	AC078927.1	ENSMUSG00000020225	Tmbim4
ENSCAFG00000000378	3	HELB	ENSG00000127311	HELB	ENSMUSG00000020228	Helb
ENSCAFG00000000385	1	KATNA1	ENSG00000186625	KATNA1	ENSMUSG00000019794	Katna1
ENSCAFG00000000390	1	NUP43	ENSG00000120253	NUP43	ENSMUSG00000040034	Nup43
ENSCAFG00000000397	2	CAND1	ENSG00000111530	CAND1	ENSMUSG00000020114	Cand1
ENSCAFG00000000413	2	MTHFD1L	ENSG00000120254	MTHFD1L	ENSMUSG00000040675	Mthfd1l
ENSCAFG00000000417	5	NUP107	ENSG00000111581	NUP107	ENSMUSG00000052798	Nup107
ENSCAFG00000000427	4	DHX16	ENSG00000204560	DHX16	ENSMUSG00000024422	Dhx16
ENSCAFG00000000444	1	FLOT1	ENSG00000137312	FLOT1	ENSMUSG00000059714	Flot1
ENSCAFG00000000481	5	CAPS2	ENSG00000180881	CAPS2	ENSMUSG00000035694	Caps2
ENSCAFG00000000483	0	TCF19	ENSG00000137310	TCF19	ENSMUSG00000050410	Tcf19
ENSCAFG00000000484	1	STK3	ENSG00000104375	STK3	ENSMUSG00000022329	Stk3
ENSCAFG00000000509	0	DDX39B	ENSG00000198563	DDX39B	ENSMUSG00000019432	Ddx39b
ENSCAFG00000000512	2	SRFBP1	ENSG00000151304	SRFBP1	ENSMUSG00000024528	Srfbp1
ENSCAFG00000000529	2	RGS22	ENSG00000132554	RGS22	ENSMUSG00000037627	Rgs22
ENSCAFG00000000533	4	PRRC2A	ENSG00000204469	PRRC2A	ENSMUSG00000024393	Prrc2a
ENSCAFG00000000543	2	CEP120	ENSG00000168944	CEP120	ENSMUSG00000048799	Cep120
ENSCAFG00000000549	5	MTRF1L	ENSG00000112031	MTRF1L	ENSMUSG00000019774	Mtrf1l
ENSCAFG00000000555	1	RNF19A	ENSG00000034677	RNF19A	ENSMUSG00000022280	Rnf19a
ENSCAFG00000000563	2	SNX31	ENSG00000174226	SNX31	ENSMUSG00000013611	Snx31
ENSCAFG00000000564	0	SCO2	ENSG00000284194	SCO2	ENSMUSG00000091780	Sco2
ENSCAFG00000000575	0	BAG6	ENSG00000204463	BAG6	ENSMUSG00000024392	Bag6
ENSCAFG00000000581	5	TFB1M	ENSG00000029639	TFB1M	ENSMUSG00000036983	Tfb1m
ENSCAFG00000000594	3	MARCHF3	ENSG00000173926	MARCHF3	ENSMUSG00000032656	Marchf3
ENSCAFG00000000602	1	RRM2B	ENSG00000048392	RRM2B	ENSMUSG00000022292	Rrm2b
ENSCAFG00000000603	3	NCAPH2	ENSG00000025770	NCAPH2	ENSMUSG00000008690	Ncaph2
ENSCAFG00000000606	5	LY6G5C	ENSG00000204428	LY6G5C	ENSMUSG00000034482	Ly6g5c
ENSCAFG00000000607	4	ABHD16A	ENSG00000204427	ABHD16A	ENSMUSG00000007036	Abhd16a
ENSCAFG00000000612	4	SBF1	ENSG00000100241	SBF1	ENSMUSG00000036529	Sbf1
ENSCAFG00000000620	4	PPP6R2	ENSG00000100239	PPP6R2	ENSMUSG00000036561	Ppp6r2
ENSCAFG00000000629	4	DENND6B	ENSG00000205593	DENND6B	ENSMUSG00000015377	Dennd6b
ENSCAFG00000000639	2	HSPA1L	ENSG00000204390	HSPA1L	ENSMUSG00000007033	Hspa1l
ENSCAFG00000000643	4	AZIN1	ENSG00000155096	AZIN1	ENSMUSG00000037458	Azin1
ENSCAFG00000000647	2	SERAC1	ENSG00000122335	SERAC1	ENSMUSG00000015659	Serac1
ENSCAFG00000000652	4	TULP4	ENSG00000130338	TULP4	ENSMUSG00000034377	Tulp4
ENSCAFG00000000654	2	FZD6	ENSG00000164930	FZD6	ENSMUSG00000022297	Fzd6
ENSCAFG00000000663	1	DCAF13	ENSG00000164934	DCAF13	ENSMUSG00000022300	Dcaf13
ENSCAFG00000000669	4	EHMT2	ENSG00000204371	EHMT2	ENSMUSG00000013787	Ehmt2
ENSCAFG00000000673	4	PLXNB2	ENSG00000196576	PLXNB2	ENSMUSG00000036606	Plxnb2
ENSCAFG00000000674	3	ZBTB12	ENSG00000204366	ZBTB12	ENSMUSG00000049823	Zbtb12
ENSCAFG00000000679	0	SKIV2L	ENSG00000204351	SKIV2L	ENSMUSG00000040356	Skiv2l
ENSCAFG00000000685	0	MAPK12	ENSG00000188130	MAPK12	ENSMUSG00000022610	Mapk12
ENSCAFG00000000688	0	HDAC10	ENSG00000100429	HDAC10	ENSMUSG00000062906	Hdac10
ENSCAFG00000000689	0	TUBGCP6	ENSG00000128159	TUBGCP6	ENSMUSG00000051786	Tubgcp6
ENSCAFG00000000693	1	ANGPT1	ENSG00000154188	ANGPT1	ENSMUSG00000022309	Angpt1
ENSCAFG00000000700	5	MOV10L1	ENSG00000073146	MOV10L1	ENSMUSG00000015365	Mov10l1
ENSCAFG00000000702	1	EIF3E	ENSG00000104408	EIF3E	ENSMUSG00000022336	Eif3e
ENSCAFG00000000710	2	SLC27A6	ENSG00000113396	SLC27A6	ENSMUSG00000024600	Slc27a6
ENSCAFG00000000716	2	TMEM74	ENSG00000164841	TMEM74	ENSMUSG00000054409	Tmem74
ENSCAFG00000000731	0		ENSG00000219438	TAFA5	ENSMUSG00000054863	Tafa5
ENSCAFG00000000738	1	EBAG9	ENSG00000147654	EBAG9	ENSMUSG00000022339	Ebag9
ENSCAFG00000000760	4	MAP3K4	ENSG00000085511	MAP3K4	ENSMUSG00000014426	Map3k4
ENSCAFG00000000764	0	PRRT1	ENSG00000204314	PRRT1	ENSMUSG00000015476	Prrt1
ENSCAFG00000000765	3	AGPAT4	ENSG00000026652	AGPAT4	ENSMUSG00000023827	Agpat4
ENSCAFG00000000768	5	EGFL8	ENSG00000241404	EGFL8	ENSMUSG00000015467	Egfl8
ENSCAFG00000000779	0	TRMU	ENSG00000100416	TRMU	ENSMUSG00000022386	Trmu
ENSCAFG00000000783	0	PBX2	ENSG00000204304	PBX2	ENSMUSG00000034673	Pbx2
ENSCAFG00000000787	4	CDPF1	ENSG00000205643	CDPF1	ENSMUSG00000064284	Cdpf1
ENSCAFG00000000821	1	UTP23	ENSG00000147679	UTP23	ENSMUSG00000022313	Utp23
ENSCAFG00000000822	1	RAD21	ENSG00000164754	RAD21	ENSMUSG00000022314	Rad21
ENSCAFG00000000826	3	MED30	ENSG00000164758	MED30	ENSMUSG00000038622	Med30
ENSCAFG00000000838	5	FAM118A	ENSG00000100376	FAM118A	ENSMUSG00000022434	Fam118a
ENSCAFG00000000851	4	IRF1	ENSG00000125347	IRF1	ENSMUSG00000018899	Irf1
ENSCAFG00000000861	4	PHF21B	ENSG00000056487	PHF21B	ENSMUSG00000016624	Phf21b
ENSCAFG00000000866	4	DACT2	ENSG00000164488	DACT2	ENSMUSG00000048826	Dact2
ENSCAFG00000000901	2	ZUP1	ENSG00000153975	ZUP1	ENSMUSG00000039531	Zup1
ENSCAFG00000000912	0	RXRB	ENSG00000204231	RXRB	ENSMUSG00000039656	Rxrb
ENSCAFG00000000917	3	SLC39A7	ENSG00000112473	SLC39A7	ENSMUSG00000024327	Slc39a7
ENSCAFG00000000938	2	MCM9	ENSG00000111877	MCM9	ENSMUSG00000058298	Mcm9
ENSCAFG00000000955	2	TBC1D32	ENSG00000146350	TBC1D32	ENSMUSG00000038122	Tbc1d32
ENSCAFG00000000965	4	RRP7	ENSG00000189306	RRP7A	ENSMUSG00000018040	Rrp7a
ENSCAFG00000000970	4	SERHL2	ENSG00000183569	SERHL2	ENSMUSG00000058586	Serhl
ENSCAFG00000000972	4	TAPBP	ENSG00000231925	TAPBP	ENSMUSG00000024308	Tapbp
ENSCAFG00000000974	3	DERL1	ENSG00000136986	DERL1	ENSMUSG00000022365	Derl1
ENSCAFG00000000977	4	ZBTB22	ENSG00000236104	ZBTB22	ENSMUSG00000051390	Zbtb22
ENSCAFG00000000981	0	DAXX	ENSG00000204209	DAXX	ENSMUSG00000002307	Daxx
ENSCAFG00000000988	4	NAGA	ENSG00000198951	NAGA	ENSMUSG00000022453	Naga
ENSCAFG00000000998	0	PHF1	ENSG00000112511	PHF1	ENSMUSG00000024193	Phf1
ENSCAFG00000001004	0	NTAQ1	ENSG00000156795	NTAQ1	ENSMUSG00000022359	Wdyhv1
ENSCAFG00000001013	4	SREBF2	ENSG00000198911	SREBF2	ENSMUSG00000022463	Srebf2
ENSCAFG00000001014	0	SYNGAP1	ENSG00000197283	SYNGAP1	ENSMUSG00000067629	Syngap1
ENSCAFG00000001018	3	CCDC134	ENSG00000100147	CCDC134	ENSMUSG00000068114	Ccdc134
ENSCAFG00000001030	1	HDDC2	ENSG00000111906	HDDC2	ENSMUSG00000000295	Hddc2
ENSCAFG00000001043	5	XRCC6	ENSG00000196419	XRCC6	ENSMUSG00000022471	Xrcc6
ENSCAFG00000001044	1	TATDN1	ENSG00000147687	TATDN1	ENSMUSG00000050891	Tatdn1
ENSCAFG00000001057	1	TRMT11	ENSG00000066651	TRMT11	ENSMUSG00000019792	Trmt11
ENSCAFG00000001068	5	RNF146	ENSG00000118518	RNF146	ENSMUSG00000038876	Rnf146
ENSCAFG00000001070	2	WASHC5	ENSG00000164961	WASHC5	ENSMUSG00000022350	Washc5
ENSCAFG00000001075	3	ACO2	ENSG00000100412	ACO2	ENSMUSG00000022477	Aco2
ENSCAFG00000001081	4	TIFAB	ENSG00000255833	TIFAB	ENSMUSG00000049625	Tifab
ENSCAFG00000001090	2	PHF5A	ENSG00000100410	PHF5A	ENSMUSG00000061360	Phf5a
ENSCAFG00000001095	3	TEF	ENSG00000167074	TEF	ENSMUSG00000022389	Tef
ENSCAFG00000001100	3	EFR3A	ENSG00000132294	EFR3A	ENSMUSG00000015002	Efr3a
ENSCAFG00000001104	2	RANGAP1	ENSG00000100399	CHADL	ENSMUSG00000063765	Chadl
ENSCAFG00000001108	1	LRRC6	ENSG00000129295	LRRC6	ENSMUSG00000022375	Lrrc6
ENSCAFG00000001114	1	ARHGAP18	ENSG00000146376	ARHGAP18	ENSMUSG00000039031	Arhgap18
ENSCAFG00000001132	4	HNRNPA0	ENSG00000177733	HNRNPA0	ENSMUSG00000007836	Hnrnpa0
ENSCAFG00000001146	4	PKD2L2	ENSG00000078795	PKD2L2	ENSMUSG00000014503	Pkd2l2
ENSCAFG00000001172	0	SGSM3	ENSG00000100359	SGSM3	ENSMUSG00000042303	Sgsm3
ENSCAFG00000001186	5	BRD8	ENSG00000112983	BRD8	ENSMUSG00000003778	Brd8
ENSCAFG00000001191	0	LEMD2	ENSG00000161904	LEMD2	ENSMUSG00000044857	Lemd2
ENSCAFG00000001196	3	AGO2	ENSG00000123908	AGO2	ENSMUSG00000036698	Ago2
ENSCAFG00000001209	0	CDC23	ENSG00000094880	CDC23	ENSMUSG00000024370	Cdc23
ENSCAFG00000001212	3	NUDT3	ENSG00000272325	NUDT3	ENSMUSG00000024213	Nudt3
ENSCAFG00000001213	3	ZNF367	ENSG00000165244	ZNF367	ENSMUSG00000044934	Zfp367
ENSCAFG00000001239	1	TAF11	ENSG00000064995	TAF11	ENSMUSG00000024218	Taf11
ENSCAFG00000001246	4	PTCH1	ENSG00000185920	PTCH1	ENSMUSG00000021466	Ptch1
ENSCAFG00000001277	4	ANKS1A	ENSG00000064999	ANKS1A	ENSMUSG00000024219	Anks1
ENSCAFG00000001287	3	TCP11	ENSG00000124678	TCP11	ENSMUSG00000062859	Tcp11
ENSCAFG00000001299	0	ZC3H3	ENSG00000014164	ZC3H3	ENSMUSG00000075600	Zc3h3
ENSCAFG00000001304	0	ZNF76	ENSG00000065029	ZNF76	ENSMUSG00000024220	Zfp523
ENSCAFG00000001308	1	EXOC4	ENSG00000131558	EXOC4	ENSMUSG00000029763	Exoc4
ENSCAFG00000001310	4	PPARD	ENSG00000112033	PPARD	ENSMUSG00000002250	Ppard
ENSCAFG00000001312	3	CHCHD3	ENSG00000106554	CHCHD3	ENSMUSG00000053768	Chchd3
ENSCAFG00000001313	3	FANCE	ENSG00000112039	FANCE	ENSMUSG00000007570	Fance
ENSCAFG00000001317	5	EEF1D	ENSG00000104529	EEF1D	ENSMUSG00000055762	Eef1d
ENSCAFG00000001325	4	PYCR3	ENSG00000104524	PYCR3	ENSMUSG00000022571	Pycrl
ENSCAFG00000001344	3	NAA35	ENSG00000135040	NAA35	ENSMUSG00000021555	Naa35
ENSCAFG00000001360	0	CBX7	ENSG00000100307	CBX7	ENSMUSG00000053411	Cbx7
ENSCAFG00000001361	4	APOBEC3Z3	ENSG00000100298	APOBEC3H	ENSMUSG00000009585	Apobec3
ENSCAFG00000001377	4	GTPBP1	ENSG00000100226	GTPBP1	ENSMUSG00000042535	Gtpbp1
ENSCAFG00000001385	0	FAM227A	ENSG00000184949	FAM227A	ENSMUSG00000042564	Fam227a
ENSCAFG00000001386	4	BRPF3	ENSG00000096070	BRPF3	ENSMUSG00000063952	Brpf3
ENSCAFG00000001390	3	RMI1	ENSG00000178966	RMI1	ENSMUSG00000035367	Rmi1
ENSCAFG00000001391	5	DMC1	ENSG00000100206	DMC1	ENSMUSG00000022429	Dmc1
ENSCAFG00000001398	4	KCTD20	ENSG00000112078	KCTD20	ENSMUSG00000005936	Kctd20
ENSCAFG00000001404	3	C1H9orf64	ENSG00000165118	C9orf64	ENSMUSG00000021550	2210016F16Rik
ENSCAFG00000001405	4	NRBP2	ENSG00000185189	NRBP2	ENSMUSG00000075590	Nrbp2
ENSCAFG00000001417	1	KIF27	ENSG00000165115	KIF27	ENSMUSG00000060176	Kif27
ENSCAFG00000001420	4	TMEM184B	ENSG00000198792	TMEM184B	ENSMUSG00000009035	Tmem184b
ENSCAFG00000001424	0	PLA2G6	ENSG00000184381	PLA2G6	ENSMUSG00000042632	Pla2g6
ENSCAFG00000001425	2	GKAP1	ENSG00000165113	GKAP1	ENSMUSG00000021552	Gkap1
ENSCAFG00000001434	1	KDM4C	ENSG00000107077	KDM4C	ENSMUSG00000028397	Kdm4c
ENSCAFG00000001439	3	C10H22orf23	ENSG00000128346	C22orf23	ENSMUSG00000033029	1700088E04Rik
ENSCAFG00000001445	4	GRINA	ENSG00000178719	GRINA	ENSMUSG00000022564	Grina
ENSCAFG00000001446	1	FRMD3	ENSG00000172159	FRMD3	ENSMUSG00000049122	Frmd3
ENSCAFG00000001448	0	PIM1	ENSG00000137193	PIM1	ENSMUSG00000024014	Pim1
ENSCAFG00000001459	2	CEP41	ENSG00000106477	CEP41	ENSMUSG00000029790	Cep41
ENSCAFG00000001474	5		ENSG00000086061	DNAJA1	ENSMUSG00000028410	Dnaja1
ENSCAFG00000001480	0	TRIOBP	ENSG00000100106	TRIOBP	ENSMUSG00000033088	Triobp
ENSCAFG00000001489	4	ZFAND3	ENSG00000156639	ZFAND3	ENSMUSG00000044477	Zfand3
ENSCAFG00000001490	2	SH3BP1	ENSG00000285304	Z83844.2	ENSMUSG00000116069	Gm49510
ENSCAFG00000001492	3	BTBD9	ENSG00000183826	BTBD9	ENSMUSG00000062202	Btbd9
ENSCAFG00000001495	3	TMEM209	ENSG00000146842	TMEM209	ENSMUSG00000029782	Tmem209
ENSCAFG00000001496	0	GGA1	ENSG00000100083	GGA1	ENSMUSG00000033128	Gga1
ENSCAFG00000001507	4	NRF1	ENSG00000106459	NRF1	ENSMUSG00000058440	Nrf1
ENSCAFG00000001514	0	MPST	ENSG00000128309	MPST	ENSMUSG00000071711	Mpst
ENSCAFG00000001518	4	DNAH8	ENSG00000124721	DNAH8	ENSMUSG00000033826	Dnah8
ENSCAFG00000001536	0	SHARPIN	ENSG00000179526	SHARPIN	ENSMUSG00000022552	Sharpin
ENSCAFG00000001546	4	MROH1	ENSG00000179832	MROH1	ENSMUSG00000022558	Mroh1
ENSCAFG00000001548	0	SNAPC3	ENSG00000164975	SNAPC3	ENSMUSG00000028483	Snapc3
ENSCAFG00000001563	4	HSF1	ENSG00000185122	HSF1	ENSMUSG00000022556	Hsf1
ENSCAFG00000001576	4	FBXL6	ENSG00000182325	FBXL6	ENSMUSG00000022559	Fbxl6
ENSCAFG00000001578	1	OARD1	ENSG00000124596	OARD1	ENSMUSG00000040771	Oard1
ENSCAFG00000001580	4	NFYA	ENSG00000001167	NFYA	ENSMUSG00000023994	Nfya
ENSCAFG00000001591	1	TREM1	ENSG00000124731	TREM1	ENSMUSG00000042265	Trem1
ENSCAFG00000001595	4	ADCK5	ENSG00000173137	ADCK5	ENSMUSG00000022550	Adck5
ENSCAFG00000001596	4	FOXP4	ENSG00000137166	FOXP4	ENSMUSG00000023991	Foxp4
ENSCAFG00000001600	0	CPSF1	ENSG00000071894	CPSF1	ENSMUSG00000034022	Cpsf1
ENSCAFG00000001608	0		ENSG00000105372	RPS19	ENSMUSG00000040952	Rps19
ENSCAFG00000001609	3	USP49	ENSG00000164663	USP49	ENSMUSG00000090115	Usp49
ENSCAFG00000001616	4	KCP	ENSG00000135253	KCP	ENSMUSG00000059022	Kcp
ENSCAFG00000001617	1	VPS13A	ENSG00000197969	VPS13A	ENSMUSG00000046230	Vps13a
ENSCAFG00000001621	4	TONSL	ENSG00000160949	TONSL	ENSMUSG00000059323	Tonsl
ENSCAFG00000001622	4	TAF8	ENSG00000137413	TAF8	ENSMUSG00000023980	Taf8
ENSCAFG00000001624	4	CYHR1	ENSG00000187954	CYHR1	ENSMUSG00000053929	Cyhr1
ENSCAFG00000001627	0	KIFC2	ENSG00000167702	KIFC2	ENSMUSG00000004187	Kifc2
ENSCAFG00000001630	2	MYH9	ENSG00000100345	MYH9	ENSMUSG00000022443	Myh9
ENSCAFG00000001652	2	HACD4	ENSG00000188921	HACD4	ENSMUSG00000028497	Hacd4
ENSCAFG00000001669	4	ARHGAP39	ENSG00000147799	ARHGAP39	ENSMUSG00000033697	Arhgap39
ENSCAFG00000001671	3	MTAP	ENSG00000264545	AL359922.1	ENSMUSG00000062937	Mtap
ENSCAFG00000001681	5	DMRTA1	ENSG00000176399	DMRTA1	ENSMUSG00000043753	Dmrta1
ENSCAFG00000001686	0		ENSG00000182307	C8orf33	ENSMUSG00000063236	1110038F14Rik
ENSCAFG00000001697	3	UBR2	ENSG00000024048	UBR2	ENSMUSG00000023977	Ubr2
ENSCAFG00000001698	4	PLAA	ENSG00000137055	PLAA	ENSMUSG00000028577	Plaa
ENSCAFG00000001706	1	IFT74	ENSG00000096872	IFT74	ENSMUSG00000028576	Ift74
ENSCAFG00000001715	2	MOB3B	ENSG00000120162	MOB3B	ENSMUSG00000073910	Mob3b
ENSCAFG00000001726	0	ARF5	ENSG00000004059	ARF5	ENSMUSG00000020440	Arf5
ENSCAFG00000001732	4	HMGXB4	ENSG00000100281	HMGXB4	ENSMUSG00000034518	Hmgxb4
ENSCAFG00000001748	4	PEX6	ENSG00000124587	PEX6	ENSMUSG00000002763	Pex6
ENSCAFG00000001758	5	FBXO7	ENSG00000100225	FBXO7	ENSMUSG00000001786	Fbxo7
ENSCAFG00000001767	1	PWP1	ENSG00000136045	PWP1	ENSMUSG00000001785	Pwp1
ENSCAFG00000001771	4	WASL	ENSG00000106299	WASL	ENSMUSG00000029684	Wasl
ENSCAFG00000001778	1	ANXA1	ENSG00000135046	ANXA1	ENSMUSG00000024659	Anxa1
ENSCAFG00000001779	2	ASB15	ENSG00000146809	ASB15	ENSMUSG00000029685	Asb15
ENSCAFG00000001789	0		ENSG00000165637	VDAC2	ENSMUSG00000021771	Vdac2
ENSCAFG00000001796	3	TMEM33	ENSG00000109133	TMEM33	ENSMUSG00000037720	Tmem33
ENSCAFG00000001799	1	MTERF2	ENSG00000120832	MTERF2	ENSMUSG00000049038	Mterf2
ENSCAFG00000001800	1	TMEM263	ENSG00000151135	TMEM263	ENSMUSG00000060935	Tmem263
ENSCAFG00000001809	2	TOPORS	ENSG00000197579	TOPORS	ENSMUSG00000036822	Topors
ENSCAFG00000001811	5	ZFAND5	ENSG00000107372	ZFAND5	ENSMUSG00000024750	Zfand5
ENSCAFG00000001812	5	APTX	ENSG00000137074	APTX	ENSMUSG00000028411	Aptx
ENSCAFG00000001829	4	SRF	ENSG00000112658	SRF	ENSMUSG00000015605	Srf
ENSCAFG00000001836	2	SMU1	ENSG00000122692	SMU1	ENSMUSG00000028409	Smu1
ENSCAFG00000001837	5	DNPH1	ENSG00000112667	DNPH1	ENSMUSG00000040658	Dnph1
ENSCAFG00000001841	1	SLC25A40	ENSG00000075303	SLC25A40	ENSMUSG00000054099	Slc25a40
ENSCAFG00000001846	1		ENSG00000086065	CHMP5	ENSMUSG00000028419	Chmp5
ENSCAFG00000001853	0	ABCC10	ENSG00000124574	ABCC10	ENSMUSG00000032842	Abcc10
ENSCAFG00000001856	0	STEAP4	ENSG00000127954	STEAP4	ENSMUSG00000012428	Steap4
ENSCAFG00000001865	0	TJAP1	ENSG00000137221	TJAP1	ENSMUSG00000012296	Tjap1
ENSCAFG00000001869	0	NOL6	ENSG00000165271	NOL6	ENSMUSG00000028430	Nol6
ENSCAFG00000001871	2	GNPDA2	ENSG00000163281	GNPDA2	ENSMUSG00000029209	Gnpda2
ENSCAFG00000001873	3	TCP11L2	ENSG00000166046	TCP11L2	ENSMUSG00000020034	Tcp11l2
ENSCAFG00000001882	5	GTPBP10	ENSG00000105793	GTPBP10	ENSMUSG00000040464	Gtpbp10
ENSCAFG00000001891	4	UBAP2	ENSG00000137073	UBAP2	ENSMUSG00000028433	Ubap2
ENSCAFG00000001894	1	WASHC4	ENSG00000136051	WASHC4	ENSMUSG00000034560	Washc4
ENSCAFG00000001895	1	PTAR1	ENSG00000188647	PTAR1	ENSMUSG00000074925	Ptar1
ENSCAFG00000001915	0	C11H9orf24	ENSG00000164972	C9orf24	ENSMUSG00000028441	1110017D15Rik
ENSCAFG00000001917	5	CNGA1	ENSG00000198515	CNGA1	ENSMUSG00000067220	Cnga1
ENSCAFG00000001918	0	GTPBP2	ENSG00000172432	GTPBP2	ENSMUSG00000023952	Gtpbp2
ENSCAFG00000001919	4	FAM219A	ENSG00000164970	FAM219A	ENSMUSG00000028439	Fam219a
ENSCAFG00000001924	4	RSPH9	ENSG00000172426	RSPH9	ENSMUSG00000023966	Rsph9
ENSCAFG00000001925	1	C10H12orf45	ENSG00000151131	C12orf45	ENSMUSG00000020255	D10Wsu102e
ENSCAFG00000001938	4	VEGFA	ENSG00000112715	VEGFA	ENSMUSG00000023951	Vegfa
ENSCAFG00000001941	4	TMEM63B	ENSG00000137216	TMEM63B	ENSMUSG00000036026	Tmem63b
ENSCAFG00000001952	1	SEPTIN10	ENSG00000186522	SEPTIN10	ENSMUSG00000019917	Septin10
ENSCAFG00000001962	4	PHF24	ENSG00000122733	PHF24	ENSMUSG00000036062	Phf24
