GeneID	k_cluster	Gene name	Human gene stable ID	Human gene name	Mouse gene stable ID	Mouse gene name
ENSCAFG00000000453	0	ZFC3H1	ENSG00000133858	ZFC3H1	ENSMUSG00000034163	Zfc3h1
ENSCAFG00000000470	4		ENSG00000168631	MUCL3	ENSMUSG00000073408	Mucl3
ENSCAFG00000000488	3	KCNS2	ENSG00000156486	KCNS2	ENSMUSG00000050963	Kcns2
ENSCAFG00000000493	5	OSR2	ENSG00000164920	OSR2	ENSMUSG00000022330	Osr2
ENSCAFG00000000517	6	TNF	ENSG00000232810	TNF	ENSMUSG00000024401	Tnf
ENSCAFG00000000568	0	MAPK8IP2	ENSG00000008735	MAPK8IP2	ENSMUSG00000022619	Mapk8ip2
ENSCAFG00000000587	4	GRHL2	ENSG00000083307	GRHL2	ENSMUSG00000022286	Grhl2
ENSCAFG00000000588	7	ALDH7A1	ENSG00000164904	ALDH7A1	ENSMUSG00000053644	Aldh7a1
ENSCAFG00000000598	7	APOM	ENSG00000204444	APOM	ENSMUSG00000024391	Apom
ENSCAFG00000000615	6	MPIG6B	ENSG00000204420	MPIG6B	ENSMUSG00000073414	Mpig6b
ENSCAFG00000000637	4	SLC12A2	ENSG00000064651	SLC12A2	ENSMUSG00000024597	Slc12a2
ENSCAFG00000000644	0	SYNJ2	ENSG00000078269	SYNJ2	ENSMUSG00000023805	Synj2
ENSCAFG00000000658	4	SLC44A4	ENSG00000204385	SLC44A4	ENSMUSG00000007034	Slc44a4
ENSCAFG00000000661	4	EZR	ENSG00000092820	EZR	ENSMUSG00000052397	Ezr
ENSCAFG00000000670	0	RIMS2	ENSG00000176406	RIMS2	ENSMUSG00000037386	Rims2
ENSCAFG00000000671	11	SOD2	ENSG00000112096	SOD2	ENSMUSG00000006818	Sod2
ENSCAFG00000000675	8	DCSTAMP	ENSG00000164935	DCSTAMP	ENSMUSG00000022303	Dcstamp
ENSCAFG00000000676	7	DPYS	ENSG00000147647	DPYS	ENSMUSG00000022304	Dpys
ENSCAFG00000000686	1	C2	ENSG00000166278	C2	ENSMUSG00000024371	C2
ENSCAFG00000000692	11	SELENOO	ENSG00000073169	SELENOO	ENSMUSG00000035757	Selenoo
ENSCAFG00000000696	3	RSPO2	ENSG00000147655	RSPO2	ENSMUSG00000051920	Rspo2
ENSCAFG00000000709	11	CRELD2	ENSG00000184164	CRELD2	ENSMUSG00000023272	Creld2
ENSCAFG00000000721	7	ISOC1	ENSG00000066583	ISOC1	ENSMUSG00000024601	Isoc1
ENSCAFG00000000722	3	ADAMTS19	ENSG00000145808	ADAMTS19	ENSMUSG00000053441	Adamts19
ENSCAFG00000000741	10	SYBU	ENSG00000147642	SYBU	ENSMUSG00000022340	Sybu
ENSCAFG00000000751	5	TNXB	ENSG00000168477	TNXB	ENSMUSG00000033327	Tnxb
ENSCAFG00000000757	9	SLC22A2	ENSG00000112499	SLC22A2	ENSMUSG00000040966	Slc22a2
ENSCAFG00000000770	8	PACRG	ENSG00000112530	PACRG	ENSMUSG00000037196	Pacrg
ENSCAFG00000000772	5	QKI	ENSG00000112531	QKI	ENSMUSG00000062078	Qk
ENSCAFG00000000777	8	AGER	ENSG00000204305	AGER	ENSMUSG00000015452	Ager
ENSCAFG00000000788	7	PPARA	ENSG00000186951	PPARA	ENSMUSG00000022383	Ppara
ENSCAFG00000000790	6	GPSM3	ENSG00000213654	GPSM3	ENSMUSG00000034786	Gpsm3
ENSCAFG00000000810	3	TRPS1	ENSG00000104447	TRPS1	ENSMUSG00000038679	Trps1
ENSCAFG00000000820	8	CSF2	ENSG00000164400	CSF2	ENSMUSG00000018916	Csf2
ENSCAFG00000000824	4	P4HA2	ENSG00000072682	P4HA2	ENSMUSG00000018906	P4ha2
ENSCAFG00000000825	0	SLC30A8	ENSG00000164756	SLC30A8	ENSMUSG00000022315	Slc30a8
ENSCAFG00000000831	7	EXT1	ENSG00000182197	EXT1	ENSMUSG00000061731	Ext1
ENSCAFG00000000832	6	TAP1	ENSG00000168394	TAP1	ENSMUSG00000037321	Tap1
ENSCAFG00000000839	10	MAL2	ENSG00000147676	MAL2	ENSMUSG00000024479	Mal2
ENSCAFG00000000848	6	DLA-DMA	ENSG00000204257	HLA-DMA	ENSMUSG00000037649	H2-DMa
ENSCAFG00000000874	3	THBS2	ENSG00000186340	THBS2	ENSMUSG00000023885	Thbs2
ENSCAFG00000000876	6	PARVG	ENSG00000138964	PARVG	ENSMUSG00000022439	Parvg
ENSCAFG00000000893	11	PNPLA3	ENSG00000100344	PNPLA3	ENSMUSG00000041653	Pnpla3
ENSCAFG00000000898	3	KIF3A	ENSG00000131437	KIF3A	ENSMUSG00000018395	Kif3a
ENSCAFG00000000907	2	SCUBE1	ENSG00000159307	SCUBE1	ENSMUSG00000016763	Scube1
ENSCAFG00000000914	1	SHROOM1	ENSG00000164403	SHROOM1	ENSMUSG00000018387	Shroom1
ENSCAFG00000000915	0	RFX6	ENSG00000185002	RFX6	ENSMUSG00000019900	Rfx6
ENSCAFG00000000919	11	UQCRQ	ENSG00000164405	UQCRQ	ENSMUSG00000044894	Uqcrq
ENSCAFG00000000922	7	LEAP2	ENSG00000164406	LEAP2	ENSMUSG00000036216	Leap2
ENSCAFG00000000923	8	ROS1	ENSG00000047936	ROS1	ENSMUSG00000019893	Ros1
ENSCAFG00000000931	10	NUS1	ENSG00000153989	NUS1	ENSMUSG00000023068	Nus1
ENSCAFG00000000940	7	MRPL13	ENSG00000172172	MRPL13	ENSMUSG00000022370	Mrpl13
ENSCAFG00000000946	5	A4GALT	ENSG00000128274	A4GALT	ENSMUSG00000047878	A4galt
ENSCAFG00000000975	6	NFAM1	ENSG00000235568	NFAM1	ENSMUSG00000058099	Nfam1
ENSCAFG00000000982	11	NDUFA6	ENSG00000184983	NDUFA6	ENSMUSG00000022450	Ndufa6
ENSCAFG00000001007	3	FBXO32	ENSG00000156804	FBXO32	ENSMUSG00000022358	Fbxo32
ENSCAFG00000001015	10	ANXA13	ENSG00000104537	ANXA13	ENSMUSG00000055114	Anxa13
ENSCAFG00000001037	4	FER1L6	ENSG00000214814	FER1L6	ENSMUSG00000037106	Fer1l6
ENSCAFG00000001045	7	NDUFB9	ENSG00000147684	NDUFB9	ENSMUSG00000022354	Ndufb9
ENSCAFG00000001053	11	POLR3H	ENSG00000100413	POLR3H	ENSMUSG00000022476	Polr3h
ENSCAFG00000001065	4	PITX1	ENSG00000069011	PITX1	ENSMUSG00000021506	Pitx1
ENSCAFG00000001089	1	LECT2	ENSG00000145826	LECT2	ENSMUSG00000021539	Lect2
ENSCAFG00000001091	2	TGFBI	ENSG00000120708	TGFBI	ENSMUSG00000035493	Tgfbi
ENSCAFG00000001097	8	ADCY8	ENSG00000155897	ADCY8	ENSMUSG00000022376	Adcy8
ENSCAFG00000001106	3	LAMA2	ENSG00000196569	LAMA2	ENSMUSG00000019899	Lama2
ENSCAFG00000001113	6	TMEM71	ENSG00000165071	TMEM71	ENSMUSG00000036944	Tmem71
ENSCAFG00000001117	3	TMEM200A	ENSG00000164484	TMEM200A	ENSMUSG00000049420	Tmem200a
ENSCAFG00000001130	2	ITPR3	ENSG00000096433	ITPR3	ENSMUSG00000042644	Itpr3
ENSCAFG00000001131	6	SLA	ENSG00000155926	SLA	ENSMUSG00000022372	Sla
ENSCAFG00000001134	11	XPNPEP3	ENSG00000196236	XPNPEP3	ENSMUSG00000022401	Xpnpep3
ENSCAFG00000001141	9	NDRG1	ENSG00000104419	NDRG1	ENSMUSG00000005125	Ndrg1
ENSCAFG00000001147	0	AKAP7	ENSG00000118507	AKAP7	ENSMUSG00000039166	Akap7
ENSCAFG00000001148	1	ST3GAL1	ENSG00000008513	ST3GAL1	ENSMUSG00000013846	St3gal1
ENSCAFG00000001179	8	WNT3A	ENSG00000154342	WNT3A	ENSMUSG00000009900	Wnt3a
ENSCAFG00000001204	2	KIF20A	ENSG00000112984	KIF20A	ENSMUSG00000003779	Kif20a
ENSCAFG00000001215	0	GFRA3	ENSG00000146013	GFRA3	ENSMUSG00000024366	Gfra3
ENSCAFG00000001220	2	CDC25C	ENSG00000158402	CDC25C	ENSMUSG00000044201	Cdc25c
ENSCAFG00000001227	4	SPDEF	ENSG00000124664	SPDEF	ENSMUSG00000024215	Spdef
ENSCAFG00000001244	3	REEP2	ENSG00000132563	REEP2	ENSMUSG00000038555	Reep2
ENSCAFG00000001293	7	HSPA9	ENSG00000113013	HSPA9	ENSMUSG00000024359	Hspa9
ENSCAFG00000001296	6	GRAP2	ENSG00000100351	GRAP2	ENSMUSG00000042351	Grap2
ENSCAFG00000001305	7	FBP1	ENSG00000165140	FBP1	ENSMUSG00000069805	Fbp1
ENSCAFG00000001307	6	DEF6	ENSG00000023892	DEF6	ENSMUSG00000002257	Def6
ENSCAFG00000001330	11	SIL1	ENSG00000120725	SIL1	ENSMUSG00000024357	Sil1
ENSCAFG00000001333	11	GFUS	ENSG00000104522	GFUS	ENSMUSG00000022570	Gfus
ENSCAFG00000001349	0	CLPS	ENSG00000137392	CLPS	ENSMUSG00000024225	Clps
ENSCAFG00000001350	4	GOLM1	ENSG00000135052	GOLM1	ENSMUSG00000021556	Golm1
ENSCAFG00000001351	0	LHFPL5	ENSG00000197753	LHFPL5	ENSMUSG00000062252	Lhfpl5
ENSCAFG00000001356	5	PDGFB	ENSG00000100311	PDGFB	ENSMUSG00000000489	Pdgfb
ENSCAFG00000001367	0	NPTXR	ENSG00000221890	NPTXR	ENSMUSG00000022421	Nptxr
ENSCAFG00000001393	4	BNIP5	ENSG00000189325	BNIP5	ENSMUSG00000048905	Bnip5
ENSCAFG00000001403	8	PODXL	ENSG00000128567	PODXL	ENSMUSG00000025608	Podxl
ENSCAFG00000001416	7	GLDC	ENSG00000178445	GLDC	ENSMUSG00000024827	Gldc
ENSCAFG00000001436	5	SOX10	ENSG00000100146	SOX10	ENSMUSG00000033006	Sox10
ENSCAFG00000001444	6	FGD2	ENSG00000146192	FGD2	ENSMUSG00000024013	Fgd2
ENSCAFG00000001453	4	RASEF	ENSG00000165105	RASEF	ENSMUSG00000043003	Rasef
ENSCAFG00000001503	6	MFNG	ENSG00000100060	MFNG	ENSMUSG00000018169	Mfng
ENSCAFG00000001506	6	CYTH4	ENSG00000100055	CYTH4	ENSMUSG00000018008	Cyth4
ENSCAFG00000001508	6	RAC2	ENSG00000128340	RAC2	ENSMUSG00000033220	Rac2
ENSCAFG00000001511	6	IL2RB	ENSG00000100385	IL2RB	ENSMUSG00000068227	Il2rb
ENSCAFG00000001512	11	TMPRSS6	ENSG00000187045	TMPRSS6	ENSMUSG00000016942	Tmprss6
ENSCAFG00000001522	6	NCF4	ENSG00000100365	NCF4	ENSMUSG00000071715	Ncf4
ENSCAFG00000001533	11	TSPAN33	ENSG00000158457	TSPAN33	ENSMUSG00000001763	Tspan33
ENSCAFG00000001551	3	PSIP1	ENSG00000164985	PSIP1	ENSMUSG00000028484	Psip1
ENSCAFG00000001562	3	BNC2	ENSG00000173068	BNC2	ENSMUSG00000028487	Bnc2
ENSCAFG00000001565	3	DAAM2	ENSG00000146122	DAAM2	ENSMUSG00000040260	Daam2
ENSCAFG00000001567	4	SH3GL2	ENSG00000107295	SH3GL2	ENSMUSG00000028488	Sh3gl2
ENSCAFG00000001585	3	FLNC	ENSG00000128591	FLNC	ENSMUSG00000068699	Flnc
ENSCAFG00000001589	6	TREML2	ENSG00000112195	TREML2	ENSMUSG00000071068	Treml2
ENSCAFG00000001597	5	MDFI	ENSG00000112559	MDFI	ENSMUSG00000032717	Mdfi
ENSCAFG00000001601	11	PLIN2	ENSG00000147872	PLIN2	ENSMUSG00000028494	Plin2
ENSCAFG00000001635	4	MLLT3	ENSG00000171843	MLLT3	ENSMUSG00000028496	Mllt3
ENSCAFG00000001648	11	GPT	ENSG00000167701	GPT	ENSMUSG00000022546	Gpt
ENSCAFG00000001651	5	IMPDH1	ENSG00000106348	IMPDH1	ENSMUSG00000003500	Impdh1
ENSCAFG00000001672	5	LEP	ENSG00000174697	LEP	ENSMUSG00000059201	Lep
ENSCAFG00000001690	3	PCSK5	ENSG00000099139	PCSK5	ENSMUSG00000024713	Pcsk5
ENSCAFG00000001700	11	SND1	ENSG00000197157	SND1	ENSMUSG00000001424	Snd1
ENSCAFG00000001701	5	RBFOX2	ENSG00000100320	RBFOX2	ENSMUSG00000033565	Rbfox2
ENSCAFG00000001709	2	MCM5	ENSG00000100297	MCM5	ENSMUSG00000005410	Mcm5
ENSCAFG00000001711	6	HMOX1	ENSG00000100292	HMOX1	ENSMUSG00000005413	Hmox1
ENSCAFG00000001735	4	ISX	ENSG00000175329	ISX	ENSMUSG00000031621	Isx
ENSCAFG00000001736	11	CNPY3	ENSG00000137161	CNPY3	ENSMUSG00000023973	Cnpy3
ENSCAFG00000001741	11	GNMT	ENSG00000124713	GNMT	ENSMUSG00000002769	Gnmt
ENSCAFG00000001751	9	TRPM6	ENSG00000119121	TRPM6	ENSMUSG00000024727	Trpm6
ENSCAFG00000001786	7	ACO1	ENSG00000122729	ACO1	ENSMUSG00000028405	Aco1
ENSCAFG00000001787	11	KLC4	ENSG00000137171	KLC4	ENSMUSG00000003546	Klc4
ENSCAFG00000001792	8	LIMCH1	ENSG00000064042	LIMCH1	ENSMUSG00000037736	Limch1
ENSCAFG00000001795	4	PHOX2B	ENSG00000109132	PHOX2B	ENSMUSG00000012520	Phox2b
ENSCAFG00000001804	9	SHISA3	ENSG00000178343	SHISA3	ENSMUSG00000050010	Shisa3
ENSCAFG00000001814	5	PTK7	ENSG00000112655	PTK7	ENSMUSG00000023972	Ptk7
ENSCAFG00000001827	7	CROT	ENSG00000005469	CROT	ENSMUSG00000003623	Crot
ENSCAFG00000001833	1	ABCB4	ENSG00000005471	ABCB4	ENSMUSG00000042476	Abcb4
ENSCAFG00000001840	1	B4GALT1	ENSG00000086062	B4GALT1	ENSMUSG00000028413	B4galt1
ENSCAFG00000001849	9	TRPM3	ENSG00000083067	TRPM3	ENSMUSG00000052387	Trpm3
ENSCAFG00000001858	5	DLK2	ENSG00000171462	DLK2	ENSMUSG00000047428	Dlk2
ENSCAFG00000001867	10	KLF9	ENSG00000119138	KLF9	ENSMUSG00000033863	Klf9
ENSCAFG00000001870	9	STEAP2	ENSG00000157214	STEAP2	ENSMUSG00000015653	Steap2
ENSCAFG00000001879	5	NUAK1	ENSG00000074590	NUAK1	ENSMUSG00000020032	Nuak1
ENSCAFG00000001890	3	MAMDC2	ENSG00000165072	MAMDC2	ENSMUSG00000033207	Mamdc2
ENSCAFG00000001893	8	C1H9orf135	ENSG00000204711	C9orf135	ENSMUSG00000033053	1700028P14Rik
ENSCAFG00000001911	0	ALDH1L2	ENSG00000136010	ALDH1L2	ENSMUSG00000020256	Aldh1l2
ENSCAFG00000001913	0	NFXL1	ENSG00000170448	NFXL1	ENSMUSG00000072889	Nfxl1
ENSCAFG00000001916	4	PIP5K1B	ENSG00000107242	PIP5K1B	ENSMUSG00000024867	Pip5k1b
ENSCAFG00000001927	9	TMEM252	ENSG00000181778	TMEM252	ENSMUSG00000048572	Tmem252
ENSCAFG00000001957	6	DOCK8	ENSG00000107099	DOCK8	ENSMUSG00000052085	Dock8
ENSCAFG00000001974	10	KANK1	ENSG00000107104	KANK1	ENSMUSG00000032702	Kank1
ENSCAFG00000001980	1	RBM48	ENSG00000127993	RBM48	ENSMUSG00000040302	Rbm48
ENSCAFG00000001987	8	TCTE1	ENSG00000146221	TCTE1	ENSMUSG00000023949	Tcte1
ENSCAFG00000001988	9	DMRT2	ENSG00000173253	DMRT2	ENSMUSG00000048138	Dmrt2
ENSCAFG00000002008	5		ENSG00000124813	RUNX2	ENSMUSG00000039153	Runx2
ENSCAFG00000002011	4	HEPACAM2	ENSG00000188175	HEPACAM2	ENSMUSG00000044156	Hepacam2
ENSCAFG00000002016	8	CLIC5	ENSG00000112782	CLIC5	ENSMUSG00000023959	Clic5
ENSCAFG00000002030	10	UNC13B	ENSG00000198722	UNC13B	ENSMUSG00000028456	Unc13b
ENSCAFG00000002039	10	LNX1	ENSG00000072201	LNX1	ENSMUSG00000029228	Lnx1
ENSCAFG00000002041	4	SULT1C2	ENSG00000198203	SULT1C2	ENSMUSG00000023122	Sult1c2
ENSCAFG00000002054	8	ADGRF5	ENSG00000069122	ADGRF5	ENSMUSG00000056492	Adgrf5
ENSCAFG00000002055	8	FAM166B	ENSG00000215187	FAM166B	ENSMUSG00000042788	Fam166b
ENSCAFG00000002057	3	PDGFRA	ENSG00000134853	PDGFRA	ENSMUSG00000029231	Pdgfra
ENSCAFG00000002061	6	CD72	ENSG00000137101	CD72	ENSMUSG00000028459	Cd72
ENSCAFG00000002064	4	SLC5A7	ENSG00000115665	SLC5A7	ENSMUSG00000023945	Slc5a7
ENSCAFG00000002069	5	COL1A2	ENSG00000164692	COL1A2	ENSMUSG00000029661	Col1a2
ENSCAFG00000002077	0	CA9	ENSG00000107159	CA9	ENSMUSG00000028463	Car9
ENSCAFG00000002105	3	FHL2	ENSG00000115641	FHL2	ENSMUSG00000008136	Fhl2
ENSCAFG00000002111	7	MMUT	ENSG00000146085	MMUT	ENSMUSG00000023921	Mmut
ENSCAFG00000002118	1	PON3	ENSG00000105852	PON3	ENSMUSG00000029759	Pon3
ENSCAFG00000002130	4	SLC9A2	ENSG00000115616	SLC9A2	ENSMUSG00000026062	Slc9a2
ENSCAFG00000002134	6	IL18RAP	ENSG00000115607	IL18RAP	ENSMUSG00000026068	Il18rap
ENSCAFG00000002141	6	RHAG	ENSG00000112077	RHAG	ENSMUSG00000023926	Rhag
ENSCAFG00000002163	3	ROR2	ENSG00000169071	ROR2	ENSMUSG00000021464	Ror2
ENSCAFG00000002165	7	PKHD1	ENSG00000170927	PKHD1	ENSMUSG00000043760	Pkhd1
ENSCAFG00000002171	6	SYK	ENSG00000165025	SYK	ENSMUSG00000021457	Syk
ENSCAFG00000002180	6	SEMA4D	ENSG00000187764	SEMA4D	ENSMUSG00000021451	Sema4d
ENSCAFG00000002206	1	TBC1D8	ENSG00000204634	TBC1D8	ENSMUSG00000003134	Tbc1d8
ENSCAFG00000002214	1	TRAM2	ENSG00000065308	TRAM2	ENSMUSG00000041779	Tram2
ENSCAFG00000002222	0	ASNS	ENSG00000070669	ASNS	ENSMUSG00000029752	Asns
ENSCAFG00000002234	0	BARX1	ENSG00000131668	BARX1	ENSMUSG00000021381	Barx1
ENSCAFG00000002239	3	LONRF2	ENSG00000170500	LONRF2	ENSMUSG00000048814	Lonrf2
ENSCAFG00000002240	11	HINT2	ENSG00000137133	HINT2	ENSMUSG00000028470	Hint2
ENSCAFG00000002255	10	CILK1	ENSG00000112144	CILK1	ENSMUSG00000009828	Cilk1
ENSCAFG00000002257	0	ICA1	ENSG00000003147	ICA1	ENSMUSG00000062995	Ica1
ENSCAFG00000002264	11	FBXO9	ENSG00000112146	FBXO9	ENSMUSG00000001366	Fbxo9
ENSCAFG00000002273	9	GCM1	ENSG00000137270	GCM1	ENSMUSG00000023333	Gcm1
ENSCAFG00000002276	1	ELOVL5	ENSG00000012660	ELOVL5	ENSMUSG00000032349	Elovl5
ENSCAFG00000002283	6	FGD3	ENSG00000127084	FGD3	ENSMUSG00000037946	Fgd3
ENSCAFG00000002288	1	GCLC	ENSG00000001084	GCLC	ENSMUSG00000032350	Gclc
ENSCAFG00000002305	4	LRRC1	ENSG00000137269	LRRC1	ENSMUSG00000032352	Lrrc1
ENSCAFG00000002313	3	OGN	ENSG00000106809	OGN	ENSMUSG00000021390	Ogn
ENSCAFG00000002322	9	TINAG	ENSG00000137251	TINAG	ENSMUSG00000032357	Tinag
ENSCAFG00000002327	4	FAM83B	ENSG00000168143	FAM83B	ENSMUSG00000032358	Fam83b
ENSCAFG00000002334	2	MELK	ENSG00000165304	MELK	ENSMUSG00000035683	Melk
ENSCAFG00000002345	10	BMP5	ENSG00000112175	BMP5	ENSMUSG00000032179	Bmp5
ENSCAFG00000002370	11	GRHPR	ENSG00000137106	GRHPR	ENSMUSG00000035637	Grhpr
ENSCAFG00000002371	6	ZAP70	ENSG00000115085	ZAP70	ENSMUSG00000026117	Zap70
ENSCAFG00000002400	1	ALDH1B1	ENSG00000137124	ALDH1B1	ENSMUSG00000035561	Aldh1b1
ENSCAFG00000002406	11	LMAN2L	ENSG00000114988	LMAN2L	ENSMUSG00000001143	Lman2l
ENSCAFG00000002414	1	AGMO	ENSG00000187546	AGMO	ENSMUSG00000050103	Agmo
ENSCAFG00000002435	11	HAAO	ENSG00000162882	HAAO	ENSMUSG00000000673	Haao
ENSCAFG00000002437	4	AGR2	ENSG00000106541	AGR2	ENSMUSG00000020581	Agr2
ENSCAFG00000002471	1	TRIM14	ENSG00000106785	TRIM14	ENSMUSG00000039853	Trim14
ENSCAFG00000002492	9	ANKS6	ENSG00000165138	ANKS6	ENSMUSG00000066191	Anks6
ENSCAFG00000002494	4	GALNT12	ENSG00000119514	GALNT12	ENSMUSG00000039774	Galnt12
ENSCAFG00000002501	3	NLRP5	ENSG00000171487	NLRP5	ENSMUSG00000015721	Nlrp5
ENSCAFG00000002504	1	ABCG5	ENSG00000138075	ABCG5	ENSMUSG00000040505	Abcg5
ENSCAFG00000002516	1	C15H1orf50	ENSG00000164008	C1orf50	ENSMUSG00000078584	AU022252
ENSCAFG00000002518	1	ABCG8	ENSG00000143921	ABCG8	ENSMUSG00000024254	Abcg8
ENSCAFG00000002519	9	ITGB8	ENSG00000105855	ITGB8	ENSMUSG00000025321	Itgb8
ENSCAFG00000002525	5	COL15A1	ENSG00000204291	COL15A1	ENSMUSG00000028339	Col15a1
ENSCAFG00000002538	7	SLC3A1	ENSG00000138079	SLC3A1	ENSMUSG00000024131	Slc3a1
ENSCAFG00000002542	7	ERP44	ENSG00000023318	ERP44	ENSMUSG00000028343	Erp44
ENSCAFG00000002549	9	CCDC30	ENSG00000186409	CCDC30	ENSMUSG00000028637	Ccdc30
ENSCAFG00000002557	3	RIMKLA	ENSG00000177181	RIMKLA	ENSMUSG00000048899	Rimkla
ENSCAFG00000002568	4	GUCA2A	ENSG00000197273	GUCA2A	ENSMUSG00000023247	Guca2a
ENSCAFG00000002579	4	EDN2	ENSG00000127129	EDN2	ENSMUSG00000028635	Edn2
ENSCAFG00000002595	2	TMEM150B	ENSG00000180061	TMEM150B	ENSMUSG00000046456	Tmem150b
ENSCAFG00000002598	7	ALDOB	ENSG00000136872	ALDOB	ENSMUSG00000028307	Aldob
ENSCAFG00000002613	0	SYT5	ENSG00000129990	SYT5	ENSMUSG00000004961	Syt5
ENSCAFG00000002618	5	TNNI3	ENSG00000129991	TNNI3	ENSMUSG00000035458	Tnni3
ENSCAFG00000002627	8	EPAS1	ENSG00000116016	EPAS1	ENSMUSG00000024140	Epas1
ENSCAFG00000002628	4	EPS8L1	ENSG00000131037	EPS8L1	ENSMUSG00000006154	Eps8l1
